user_name,score,date,text,gemma2_sentiment,gemma2_confidence,error_sentiment,classic_sentiment,positive,neutral,negative,time,class_sentiment,class_group,combined_weight_sentiment,combined_abs_sentiment,error_sentiment_value,llama3_sentiment,llama3_confidence,mistral-nemo_sentiment,mistral-nemo_confidence,qwen2_sentiment,qwen2_confidence,qwen2.5-7b_sentiment,qwen2.5-7b_confidence
Luiz Bassani Neto,5,01/07/2024,top de mais,0.8,0.6,0,0.0,0.0,1.0,0.0,2.174,promoter,outros,0.76,0.72,,0.5,0.8,0.0,1.0,1.0,1.0,0.8,0.7
Rafael Sousa,1,01/07/2024,"App bem ruim,Pix não cai na hora e nem da pra ver detalhes do extrato",-0.7,0.8,0,-0.0258,0.129,0.736,0.135,1.419,detractor,pix,-0.57,-0.63,,-0.8,0.9,-0.5,0.8,-0.9,0.8,-0.7,0.8
lucas adeodato,1,01/07/2024,Péssimo aplicativo.pra descontar a taxa dele é rápido mais pra liberar o que é da pessoa é uma burocracia. Imagina se precisasse pra uma emergência não pode contar com ele não viu. Deveria melhorar ou então deixa pra tirar o de vocês depois quando nois receber o nosso também. Péssimo dos péssimo Não indico pra ninguém,-0.8,0.9,0,-0.5423,0.083,0.756,0.162,2.241,detractor,atendimento,-0.75,-0.79,,0.9,1.0,-0.8,0.9,-0.9,0.8,-0.6,0.8
Emanoel Messias,1,01/07/2024,"Efetuei uma venda pelo link e só depois percebi o prazo para receber o valor , um mês de prazo! Achei um absurdo essa demora para receber vendas via link!",0.4,0.8,0,-0.658,0.075,0.652,0.273,1.844,detractor,venda,0.19,0.36,,-0.8,0.9,0.3,0.8,-0.8,0.6,-0.5,0.8
Beatriz Farias campos,5,01/07/2024,Boa Noite meu aplicativo não quer abrir eu já botei minha senha e nada de abrir,-0.6,0.7,0,0.25,0.228,0.652,0.12,2.161,detractor,atendimento,-0.43,-0.54,,0.8,0.9,-0.5,0.9,-0.8,0.6,-0.6,0.7
gisiane ribeiro,5,01/07/2024,"Boa noite não estou conseguindo acessar minha conta da Ton pra fazer indicações,quando vou acessar aparece conta inativa.",-0.6,0.7,0,0.0258,0.134,0.691,0.175,1.79,detractor,conta,-0.47,-0.54,,0.7,0.9,-0.6,0.8,0.1,0.8,-0.3,0.7
Celiomar campos Farias,3,30/06/2024,"o aplicativo apresenta falhas, não autorizada o cadastro do dispositivo e após feito as instruções do suporte o mesmo continua cm erros, é impossível de utilizar",-0.8,0.9,0,-0.7783,0.0,0.698,0.302,2.306,detractor,atendimento,-0.8,-0.8,,0.8,0.9,-0.8,0.9,-0.7,1.0,-0.8,0.7
Zilma Januario Ferreira,5,30/06/2024,Estou tendi problemas pra acessar,-0.6,0.7,0,-0.4588,0.0,0.571,0.429,1.509,detractor,acesso,-0.57,-0.59,,0.5,0.7,0.0,1.0,-1.0,0.5,-1.0,0.8
Edilson Oliveira,4,30/06/2024,Ótimo,1.0,0.9,0,0.3612,1.0,0.0,0.0,2.169,promoter,outros,0.87,0.96,,0.8,0.9,0.7,1.0,1.0,1.0,0.8,0.9
Renato Sousa,5,30/06/2024,Bom,0.7,0.9,0,0.4215,1.0,0.0,0.0,2.047,promoter,outros,0.64,0.68,,0.7,0.8,0.8,0.9,0.5,1.0,0.5,0.8
Ismael ribeiro,5,30/06/2024,tp melhor que tá tendo,0.6,0.8,0,0.4404,0.42,0.58,0.0,1.931,promoter,outros,0.57,0.59,,0.7,0.8,,,0.3,0.7,0.8,0.7
laisa santos,5,30/06/2024,"muito bom, e funciona realmente",0.8,0.9,0,0.4215,0.483,0.517,0.0,1.416,promoter,outros,0.72,0.78,,0.8,0.9,0.8,1.0,0.8,1.0,0.8,0.9
Juan Robson,5,30/06/2024,top demais,0.8,0.9,0,0.0,0.0,1.0,0.0,2.045,promoter,outros,0.76,0.72,,0.8,0.6,0.7,1.0,1.0,1.0,1.0,0.9
Pedro Santos,5,30/06/2024,Top,-0.5,0.6,0,0.0,0.0,1.0,0.0,2.312,promoter,outros,-0.48,-0.45,,0.5,0.6,0.5,0.8,,,1.0,0.8
Fernanda Gabriela Miciano,2,30/06/2024,App dá muito erro na hora de efetuar vendas pelo Tap Ton. Tem que melhorar.,-0.6,0.7,0,0.0772,0.157,0.703,0.141,1.417,detractor,venda,-0.46,-0.54,,0.8,0.9,0.1,0.8,-0.7,0.8,-0.6,0.8
Valmeri José Schmitt,5,30/06/2024,"Aprovação de cadastro e aplicativo muito fácil de usar. Tap ton funciona muito bem. Sugestão: Já que existe a opção minha Loja no app poderiam haver mais opções gerenciais: Estoque, preço de custo(compra) E poderia haver também opção de venda em dinheiro para controle de caixa. Assim toda informação gerencial seria concentrada no mesmo app",0.7,0.9,0,0.7579,0.14,0.832,0.028,2.096,promoter,outros,0.71,0.7,,0.7,0.9,0.7,1.0,0.7,0.9,0.7,0.8
Ana Paula,4,30/06/2024,"Até é que bom pra conta digital,só deveria deixar ele mais otimizado,quando a gente entra no aplicativo é um pouco lento pra carregar,fora isso eu considero um app bom.",0.6,0.8,0,0.6808,0.189,0.811,0.0,2.192,promoter,lentidao,0.62,0.6,,0.4,0.8,0.3,0.9,0.7,0.8,0.3,0.8
Ana Paula,1,30/06/2024,Atendimento percimo vc bloquearam meu dinheiro meu aplicativo e não consigo mas resgatar meu dinheiro pq aplicativo não abri maís,-0.8,0.9,0,0.2617,0.179,0.644,0.177,2.02,detractor,atendimento,-0.59,-0.72,,0.7,0.8,-0.7,0.9,-0.8,1.0,-0.6,0.8
Marco César Pereira (Coxinha),1,30/06/2024,"Esse App e muito lento,tenho Internet 5 G,mesmo assim,demora muito para abrir para qualquer atividade,a dos concorrentes é instantâneo,Mercado Pago,Get Net e outros. Precisam melhorar muito !!!!!!! Sou Taxista,sofro muito na rua!!!!!!!",-0.8,0.9,0,0.4344,0.09,0.775,0.135,2.361,detractor,lentidao,-0.55,-0.73,,0.3,1.0,-0.7,0.9,-0.9,0.8,-0.8,0.7
Rogerio Luiz,1,29/06/2024,"Pra mim nunca funcionou a máquina, nunca dava sinal nos lugares que precisava, a agora com o App usando Tap Ton no celular a mesma coisa e mesmo com WiFi, fica informando que não tem conexão! O App lento e todo dia sai do login! Uma chatura e me faz passar é vergonha!",-0.8,0.9,0,-0.6981,0.0,0.879,0.121,2.253,detractor,maquininha,-0.78,-0.8,,0.4,1.0,-0.6,0.9,-0.8,0.9,-0.8,0.7
igor Costa,3,29/06/2024,"Minha conta está inativa por conta de um pix , já entrei várias vezes em contato disseram qui até dia 27/06 eu receberia um e-mail, e até agora nada assim fica difícil minhas venda tão indo e meu acesso nada ainda",-0.7,0.8,0,-0.1027,0.0,0.964,0.036,2.326,detractor,conta,-0.58,-0.65,,0.1,0.9,-0.5,0.8,-0.8,0.6,-0.5,0.8
Williane Freitas,1,29/06/2024,"Estou perdendo vendas, 3 vezes tentei passar vendas, e o aplicativo apresenta erro, aparece o número 4, resolvam isso por gentileza.",-0.7,0.8,0,-0.296,0.197,0.513,0.291,2.488,detractor,venda,-0.62,-0.67,,0.8,0.9,,,-0.8,0.9,-0.7,0.8
Guilherme Vinícius,5,29/06/2024,Muito boa,0.8,0.9,0,0.4404,0.744,0.256,0.0,2.432,promoter,outros,0.73,0.78,,0.8,1.0,0.8,1.0,0.8,1.0,0.8,0.9
Adenice Maximino,1,29/06/2024,Pedi pra excluir a minha conta e até hoje não excluíram,-0.6,0.7,0,-0.4767,0.0,0.631,0.369,2.48,detractor,conta,-0.58,-0.59,,-0.5,0.8,-0.2,0.8,-0.8,0.7,-1.0,0.8
Juan Ferreira,1,29/06/2024,N consigo definir minha chave pix,-0.6,0.8,0,0.0,0.0,1.0,0.0,2.57,detractor,pix,-0.57,-0.54,,0.5,0.7,-0.8,0.5,0.1,0.8,-0.5,0.8
Amanda Ramos,1,29/06/2024,Criei minha conta e agora tá aparecendo conta inativa. Conseguem me ajudar?,-0.4,0.7,0,0.0,0.0,1.0,0.0,1.547,detractor,conta,-0.38,-0.36,,0.6,0.8,0.1,0.8,0.2,1.0,-0.2,0.7
Amanda fercondini,2,29/06/2024,Porque tem tanta atualização nesse aplicativo? Haja memória... toda vez que entro pede pra atualizar... acredito que seja desnecessário.,-0.4,0.7,0,0.0516,0.062,0.938,0.0,2.178,detractor,outros,-0.31,-0.36,,0.6,0.9,-0.5,0.9,0.1,0.8,-0.3,0.8
Aislan Ferreira,1,29/06/2024,"Fiz abertura da conta tudo certo,mas ao abrir está informando conta inativa.",0.1,0.6,0,0.34,0.179,0.821,0.0,1.809,detractor,conta,0.15,0.12,,0.4,0.8,-0.5,0.8,0.1,0.8,0.3,0.7
Andréa Soares,5,29/06/2024,Muito bom,0.8,0.9,0,0.4215,0.737,0.263,0.0,2.109,promoter,outros,0.72,0.78,,0.8,1.0,0.6,1.0,0.8,1.0,0.8,0.9
andre aguiar,5,29/06/2024,Apesar de eu ainda não ser nenhum micro empresário vcs estão de parabéns de qualquer forma pois vcs são incríveis tomara que um dia eu seja um micro empresário pra poder fazer parte de vcs mais por hora merece sim as 5 estrelas e nota 10 com toda certeza,0.8,0.9,0,0.8225,0.196,0.764,0.04,2.295,promoter,outros,0.8,0.8,,0.8,0.9,0.7,0.9,0.9,0.8,0.8,0.9
Adlla Andrade,1,28/06/2024,"NAO BOTEM DINHEIRO NO TON, O PIX NAO PEGA , TUDO DA EERO. HORRÍVEL",-0.8,0.9,0,-0.7964,0.0,0.526,0.474,2.141,detractor,pix,-0.8,-0.8,,0.5,0.9,0.1,0.8,-1.0,0.8,-1.0,0.9
Luis Gustavo Botelho,5,28/06/2024,Ótima empresa tudo de bom,0.8,0.9,0,0.4215,0.412,0.588,0.0,2.476,promoter,outros,0.72,0.78,,0.8,1.0,0.7,1.0,0.8,1.0,0.8,0.9
Paulo,5,28/06/2024,nota 1000,0.8,0.9,0,0.0,0.0,1.0,0.0,2.348,promoter,outros,0.76,0.72,,0.0,0.8,,,0.0,1.0,0.8,0.7
Francoese Fernandes,5,28/06/2024,"Muito satisfatório, agilidade,sem contar que recebo no mesmo dia.",0.8,0.9,0,0.4588,0.273,0.727,0.0,2.321,promoter,outros,0.73,0.78,,0.7,0.9,0.8,1.0,0.8,0.9,0.8,0.9
Joseane Santos,2,28/06/2024,"Tô com dinheiro na canta mas não tô conseguindo acessar ela sempre dá erro.Tó precisamos do dinheiro e não consigo retirar . Agradeço a atenção,mas resolvi o problema, muito obrigada.",0.3,0.6,0,-0.8462,0.0,0.715,0.285,1.573,detractor,acesso,0.07,0.28,,0.3,0.6,0.1,0.8,0.1,0.8,0.3,0.7
Myller Gomes,2,28/06/2024,Não consigo criar a conta no meio do processo fica assim conta inativa 🤬,-0.7,0.8,0,-0.6597,0.0,0.649,0.351,1.432,detractor,conta,-0.69,-0.7,,0.7,0.8,-0.8,0.9,-0.8,0.9,-0.8,0.7
Daliana Lucia De Oliveira,2,28/06/2024,Não consigo fazer venda pelo tapton faz tudo certinho mais na hora de passar o cartão atrás do celular só dá erro,-0.6,0.7,0,-0.5859,0.0,0.798,0.202,2.348,detractor,maquininha,-0.6,-0.6,,0.3,0.8,-0.5,0.7,-0.5,1.0,-0.3,0.8
Ronaldo Pereira,1,28/06/2024,"Não consigo acessar minha conta, pois aparece que ela está inativa, mas ainda tenho dinheiro lá, e não consigo usar a maquininha de cartão por causa disso.",-0.6,0.8,0,-0.5719,0.0,0.794,0.206,2.387,unknown,unknown,-0.59,-0.6,,0.4,0.8,-0.5,0.8,-0.8,0.6,-0.6,0.8
Thiquadriciclo Moreira,5,28/06/2024,maravilhosa 😄,1.0,1.0,0,0.5994,1.0,0.0,0.0,1.466,promoter,outros,0.92,0.98,,0.8,0.9,0.8,1.0,0.8,1.0,0.8,0.9
Victor Hugo,1,28/06/2024,Na última atualização o app diz que minha conta está inativa,-0.6,0.7,0,0.0,0.0,1.0,0.0,1.428,detractor,conta,-0.57,-0.54,,0.5,0.8,-0.5,0.8,0.1,0.7,-0.5,0.7
marcia goncalves alexandre alexandre,5,28/06/2024,ótimo,1.0,0.9,0,0.3612,1.0,0.0,0.0,1.934,promoter,outros,0.87,0.96,,0.8,0.9,0.7,1.0,0.8,1.0,0.8,0.9
carmen cristina,3,28/06/2024,"Estou tendo problema com o app, pois a venda fica em processamento e o dinheiro não cai na conta, já entrei em contato com o atendimento várias vezes e até agora nada se resolveu. E não é a primeira vez, pois da última vez consegui estornar a venda, pois ninguém conseguiu resolver o problema.",-0.7,0.8,0,-0.6369,0.089,0.72,0.191,2.347,detractor,venda,-0.69,-0.7,,-0.8,0.9,-0.6,0.9,-0.9,0.8,-0.6,0.8
Luis Lobo Ribeiro Junior Lobo Ribeiro,4,28/06/2024,muito bom,0.8,0.9,0,0.4215,0.737,0.263,0.0,2.359,promoter,outros,0.72,0.78,,0.8,0.9,0.8,1.0,0.8,1.0,0.8,0.9
Ivana Patricia oliveira lima,5,28/06/2024,!) .,-0.8,0.6,0,0.0,0.0,1.0,0.0,1.585,neutral,outros,-0.76,-0.72,,0.8,0.6,0.0,1.0,-1.0,0.1,0.0,0.5
Sônia Maria Silva,5,28/06/2024,"Muito boa,fácil de lida,pena que não cai o dinheiro no mesmo dia.",0.6,0.8,0,-0.296,0.0,0.82,0.18,2.547,promoter,outros,0.42,0.54,,0.8,0.9,0.4,0.8,0.7,0.8,0.5,0.8
jose nelson,1,28/06/2024,"góstaría de deíxa claro que este app apresenta 3 falhas que considero de grande ímpórtáncía para quem utilizá este app, 1- o app não salva ás chaves Pix quando enviamos o píx para clientes 2-o app não oferece cartão de débito no ato do contrato, ele deixa para o sístema analizar se e quando devemos receber um cartão de debíto, isso é um absurdo se soubesse antes, não contrátaria. 3-o app é muito lento demora para abrir, orrivel",-0.8,0.9,0,-0.8402,0.093,0.665,0.242,3.058,detractor,outros,-0.81,-0.8,,,,-0.7,0.9,-0.8,0.6,-0.8,0.7
dyndya Ribeiro,3,28/06/2024,O app é bom porém exite algumas falhas sobre na hora q precisa criar uma chave pix onde muitas vezes causa erro,0.2,0.6,0,-0.4404,0.114,0.653,0.233,2.058,detractor,pix,0.07,0.16,,0.4,0.8,-0.6,0.8,0.5,0.8,0.2,0.7
Eduarda Silva,5,28/06/2024,muito bom a aplicativo bem,0.8,0.9,0,0.5994,0.71,0.29,0.0,2.732,promoter,outros,0.76,0.79,,0.8,0.9,0.7,0.8,0.5,1.0,0.8,0.9
Clovis Camargo,5,28/06/2024,A melhor que já tivemos,0.8,0.9,0,0.4404,0.492,0.508,0.0,1.699,promoter,outros,0.73,0.78,,0.8,0.9,0.8,1.0,0.9,0.8,0.8,0.9
Oziel Santos,5,28/06/2024,ótimo dimais,1.0,0.8,0,0.3612,0.714,0.286,0.0,2.536,promoter,outros,0.87,0.96,,0.8,0.9,0.8,0.5,0.8,0.7,0.8,0.9
Ernandia Lopes,4,28/06/2024,Muito bom,0.8,0.9,0,0.4215,0.737,0.263,0.0,1.518,promoter,outros,0.72,0.78,,0.8,1.0,0.6,1.0,0.8,1.0,0.8,0.9
arnaldo Nazario,5,28/06/2024,muinto boa.recomendo,0.8,0.9,0,0.0,0.0,1.0,0.0,1.588,promoter,outros,0.76,0.72,,0.8,0.9,0.8,1.0,0.7,0.8,0.8,0.7
Vanielia Santos,5,28/06/2024,Muito bom eu indico,0.8,0.9,0,0.4215,0.483,0.517,0.0,2.179,promoter,outros,0.72,0.78,,0.8,0.9,0.8,1.0,0.8,0.9,0.8,0.9
ntriachao26@gmail.com Tathy,5,28/06/2024,otimo,1.0,0.9,0,0.3612,1.0,0.0,0.0,2.608,promoter,outros,0.87,0.96,,0.8,0.9,0.7,1.0,1.0,0.9,0.8,0.9
Enoque Alves Lopes,1,28/06/2024,Muito instabilidade todo dia um defeito diferente,-0.7,0.8,0,-0.4215,0.0,0.682,0.318,1.617,detractor,outros,-0.64,-0.68,,0.5,0.7,-0.5,0.8,-0.8,0.7,-0.7,0.8
Mirinha Freire,1,28/06/2024,Por que o APP Não tá fazendo estorno Só tou tendo dor de cabeça,-0.7,0.8,0,-0.6705,0.0,0.667,0.333,1.556,detractor,atendimento,-0.69,-0.7,,0.8,0.9,-0.5,0.8,-1.0,0.5,-0.8,0.7
sindomar azevedo,1,27/06/2024,Compressa maquininha e ela veio com defeito de fábrica a bateria não segura pedi uma nova troca mandar um técnico mas ele não responde as mensagens que a gente envia o suporte não dá o suporte que a gente precisa é uma imundice não compre essa maquininha não vale a pena ela vem com defeito de fábrica,-0.8,0.9,0,-0.9595,0.0,0.659,0.341,2.199,detractor,maquininha,-0.83,-0.8,,0.8,1.0,-0.8,1.0,-0.8,0.7,-0.8,0.7
Marcone Rodrigues da Silva Rodrigues,5,27/06/2024,Bom,0.7,0.9,0,0.4215,1.0,0.0,0.0,2.016,promoter,outros,0.64,0.68,,0.7,0.8,0.8,1.0,0.5,1.0,0.5,0.8
Andre luiz,5,27/06/2024,top recomendo a todos que precisen de uma maquininha,0.8,0.9,0,0.3612,0.263,0.737,0.0,2.253,promoter,maquininha,0.71,0.77,,0.7,0.8,0.2,1.0,0.8,1.0,0.8,0.9
Silas Quick Net Sat,1,27/06/2024,"Aplicativo é horrível. Muito lento pra mudar as funções e não adianta ligar para o suporte , eles não sabem resolver.",-0.8,0.9,0,-0.7845,0.077,0.511,0.413,2.738,unknown,unknown,-0.8,-0.8,,0.8,0.9,-0.8,0.9,-1.0,1.0,-0.8,0.7
Bruna Santos,5,27/06/2024,muito boa,0.8,0.9,0,0.4404,0.744,0.256,0.0,1.823,promoter,outros,0.73,0.78,,0.8,0.9,0.7,1.0,1.0,1.0,0.8,0.9
Gih Teixeira,3,27/06/2024,"Atendimento perfeito, maquininha perfeita seria 5* se não fosse o fato de ter que fazer vendas para ter direito ao cartão físico, muitas vezes precisei transferir o valor da conta para usar o cartão, tem lugares que não aceitam pix",0.6,0.7,0,0.128,0.159,0.671,0.17,2.23,promoter,maquininha,0.51,0.56,,0.4,0.8,0.2,0.8,0.7,0.8,0.6,0.8
leudo castro,5,27/06/2024,show,0.8,0.7,0,0.0,0.0,1.0,0.0,2.07,promoter,pix,0.76,0.72,,-0.5,0.7,,,,,0.5,0.7
Leda Maria Borges de Vasconcellos,5,27/06/2024,trabalho com a maquina da ton super maravilhosa,0.8,0.9,0,0.8316,0.609,0.391,0.0,2.632,promoter,maquininha,0.81,0.8,,0.8,0.9,0.8,1.0,1.0,1.0,0.8,0.9
Emanuel Felipe,5,27/06/2024,top,0.8,0.7,0,0.0,0.0,1.0,0.0,2.177,neutral,outros,0.76,0.72,,0.5,0.7,0.8,1.0,,,0.8,0.7
Andrey Souza dos Santos,5,27/06/2024,Muito bom,0.8,0.9,0,0.4215,0.737,0.263,0.0,2.058,promoter,outros,0.72,0.78,,0.7,1.0,0.8,1.0,0.8,1.0,0.8,0.9
Marcelo S.A,5,27/06/2024,muito bom,0.8,0.9,0,0.4215,0.737,0.263,0.0,2.285,promoter,outros,0.72,0.78,,0.8,1.0,0.8,1.0,0.8,1.0,0.8,0.9
Nayra Alves,5,27/06/2024,maravilhoso super indico 😍,1.0,0.9,0,0.8225,0.884,0.116,0.0,2.44,promoter,outros,0.96,1.0,,0.8,1.0,0.8,1.0,1.0,1.0,1.0,0.9
luciano batista,5,27/06/2024,"excelente app , ótimo recomendo",0.8,0.9,0,0.8442,0.901,0.099,0.0,2.452,promoter,outros,0.81,0.8,,0.7,0.8,0.7,1.0,1.0,1.0,0.8,0.9
Poxah Dandah,5,27/06/2024,gostei de usar,0.6,0.8,0,0.4215,0.583,0.417,0.0,2.449,promoter,outros,0.56,0.59,,0.8,1.0,0.1,0.8,0.6,1.0,0.5,0.8
Cremilda Galvão,1,27/06/2024,Completamente insatisfeita com o serviço. O dinheiro das vendas simplesmente some e não há um bom retorno sobre isso. Recomendo para quem quer ter dor de cabeça.,-0.8,0.9,0,0.2263,0.272,0.514,0.215,2.671,detractor,venda,-0.59,-0.72,,0.5,0.9,-0.8,0.9,-0.8,1.0,-0.9,0.7
Ramon R. de Freitas,5,27/06/2024,Excelente aplicação e soluções adequadas e que facilitam o dia a dia para o empreendedor.,0.8,0.9,0,0.8176,0.545,0.359,0.096,2.469,promoter,outros,0.8,0.8,,0.8,1.0,0.6,1.0,0.8,0.9,0.8,0.9
enis faustino,5,27/06/2024,ótimo,1.0,0.8,0,0.3612,1.0,0.0,0.0,2.333,promoter,outros,0.87,0.96,,0.8,1.0,0.8,1.0,0.7,1.0,1.0,0.9
maria da piedade milagres,5,27/06/2024,ótimo aplicativo! Simples e completo .,0.8,0.9,0,0.4199,0.482,0.518,0.0,2.33,promoter,outros,0.72,0.78,,0.8,1.0,0.8,1.0,0.8,0.9,0.8,0.9
Valdelicio Pereira,4,27/06/2024,muito bom mesmo gostei da maquininha!!,0.8,0.9,0,0.7339,0.607,0.393,0.0,1.797,promoter,maquininha,0.79,0.8,,0.8,1.0,0.8,1.0,0.8,0.9,0.8,0.9
José Augusto Dos Santos bispo,5,27/06/2024,ótimo,1.0,0.9,0,0.3612,1.0,0.0,0.0,2.275,promoter,outros,0.87,0.96,,0.8,0.9,0.7,1.0,1.0,1.0,1.0,0.9
Bruna Gabrielle dos Santos,5,27/06/2024,tudo muito bom 😊,0.8,0.9,0,0.4215,0.583,0.417,0.0,2.16,promoter,outros,0.72,0.78,,0.5,0.8,0.8,1.0,1.0,0.8,0.8,0.9
Marcos Maciel,5,27/06/2024,👍,1.0,0.8,0,0.0,0.0,0.0,0.0,2.597,promoter,outros,0.95,0.9,,0.5,0.8,0.7,1.0,1.0,1.0,0.5,1.0
Joel Araújo,4,27/06/2024,"Tive um probleminha com meu app , porem um consultor me orientou e graças a Deus agora está tudo ok, pronto pra vender sem parar!",0.7,0.8,0,0.8122,0.343,0.657,0.0,2.446,unknown,unknown,0.72,0.7,,0.4,0.8,0.6,0.8,0.8,0.9,0.7,0.8
Paty Gama,5,27/06/2024,Gosto muito desse ton,0.8,0.9,0,0.4019,0.474,0.526,0.0,1.524,promoter,outros,0.72,0.78,,0.8,0.9,0.5,1.0,0.8,1.0,0.7,0.8
Luiza Rosa de Medeiros,4,27/06/2024,Está dando muitos problemas para entrar.,-0.6,0.7,0,-0.296,0.24,0.3,0.46,2.207,detractor,acesso,-0.54,-0.58,,0.6,0.8,-0.5,0.8,-0.5,1.0,-0.5,0.8
Winny Karollayne,5,27/06/2024,ótima,1.0,1.0,0,0.0,0.0,1.0,0.0,2.486,promoter,outros,0.95,0.9,,0.8,1.0,0.7,1.0,0.7,1.0,0.8,0.9
Jonathan santos Modesto,5,27/06/2024,Ótimo app,1.0,0.9,0,0.3612,0.714,0.286,0.0,2.005,promoter,outros,0.87,0.96,,0.8,1.0,0.7,1.0,0.8,1.0,0.8,0.9
Bruno Lemark,5,27/06/2024,maravilhosa essa empresa! só o fato de vender pelo telefone já é uma maravilha,0.8,0.9,0,0.7901,0.411,0.589,0.0,2.222,promoter,venda,0.8,0.8,,0.9,0.8,0.8,0.9,0.9,1.0,0.8,0.9
Whaylha Tavares,1,27/06/2024,O pior aplicativo de maquinha q já existiu,-0.8,0.9,0,-0.6249,0.0,0.549,0.451,2.578,detractor,maquininha,-0.76,-0.79,,-1.0,0.8,-1.0,0.9,-1.0,0.5,-1.0,0.9
Rejane Duvalle,4,27/06/2024,"Gostei do aplicativo. Só está ruim a demora em abrir o aplicativo. Fica carregando e demora muito, as vezes vc quer fazer um pix rápido e demora muito até abrir. Vamos vê se melhora!",0.4,0.6,0,-0.4753,0.21,0.53,0.26,2.72,promoter,lentidao,0.22,0.35,,0.4,0.7,0.1,0.8,0.5,0.8,0.3,0.7
Nadir Cristiane,4,27/06/2024,as vezes demora muito para abrir o aplicativo,-0.3,0.6,0,-0.4404,0.0,0.562,0.438,2.157,detractor,lentidao,-0.33,-0.31,,0.5,0.8,0.1,0.8,-0.1,0.8,-0.3,0.8
Anderson Leandro,5,27/06/2024,Boa noite quando vou acessar o app aparece conta inativa. Gostaria de saber o porquê?,-0.4,0.7,0,0.3182,0.187,0.71,0.103,2.168,neutral,conta,-0.26,-0.35,,0.6,0.8,0.1,0.8,0.0,1.0,0.4,0.7
